age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
31,single,f,straight,curvy,mostly anything,socially,never,graduated from law school,indian,61.0,50000,law / legal services,2012-06-29-08-00,"oakland, california","doesn't have kids, but might want them",,hinduism but not too serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)","i'm an easy-going person with a genuine appreciation for life and the people i encounter in it. i enjoy social frolic and solitary reflection alike, and i can find humor in almost every situation.  i'm a bay area native, and i have massive pride in this place for its awesome food, weather, diversity, and politics.","writing, performing/composing music, watching nbc comedies and random films on netflix, eating hella much, reading, trying to stay fit, and spending quality time with my friends and fam.  and working for money too, on a freelance basis.","whistling, writing, doing three-point turns, creating & decoding acronyms, and coming up with motivational games.","well, that depends more on you than on me. what say?","books - some recently appreciated ones are: is everyone hanging out without me? (and other concerns) by mindy kaling, the hunger games by suzanne collins (only read the first one so far), immortality by milan kundera, and tuff by paul beatty. i also like anything by david sedaris and oscar wilde.  movies - bill & ted's excellent adventure, kuch kuch hota hai, big man japan, and most fluffy rom-com type things, even though their weak sauce female characters and gender politics in general piss me off. other recent things i've seen and enjoyed on netflix: viva cuba, tie me up! tie me down!, and today's special  shows - the office, parks & rec, modern family, how i met your mother, gossip girl, anthony bourdain's no reservations  music - bollywood, pop, hip hop, indian classical  food - god, i fucking love food: pizza, ethiopian, thai, indian, burgers, pasta, fondue, french-vietnamese fusion, or whatever. i understand the socio-political significance of organic and locally sourced food, but i am not a food snob, and i can totally rock chain restaurants too.","water, dairy products, a sense of community, a creative outlet, clothing (not for modesty, but to keep my body at the appropriate temperature), and a daily shower.",ways to amuse myself and others.,"getting a fabulous dinner, chilling at a mellow lounge/bar, watching a play or movie, and/or kickin' it indoors with good friends, good eats, and good music.",ask and i'll tell you pretty much anything.,- you are looking for a long-term relationship with the right person. - you invest more energy into nourishing what you have than clamoring for what you don't have. - you like to eat and drink. - you are responsible toward yourself and others. - you want to meet in person before (or instead of) adding each other on chat/facebook. - you know how to treat a woman once you have met her.
28,single,f,straight,athletic,mostly anything,rarely,never,graduated from law school,asian,67.0,150000,law / legal services,2012-06-14-22-56,"san francisco, california",,likes dogs and likes cats,agnosticism and laughing about it,taurus and it&rsquo;s fun to think about,no,english,i'm silly. i'm analytical. i'm fond of short sentences.,current goal: learning to swim.,eating vegetables in large quantities!,my posture (straight). my walk (loud).,pride & prejudice,nothing.,my next meal.,eating (see above) with friends.,i'm not one to over-share.,you want to contact me. (did i mention i'm very literal?)
42,single,m,straight,fit,anything,socially,never,graduated from ph.d program,asian,71.0,150000,education / academia,2012-06-29-20-59,"stanford, california","doesn't have kids, but wants them",has dogs,,scorpio but it doesn&rsquo;t matter,no,english,"born and raised in rural missouri and educated in boston and baltimore, i love both open spaces and urban places. i don't speak with a twang anymore except when i go back home (it's not intentional, i swear). i have an unusually high tolerance (perhaps even an appreciation) for country music, but my itunes collection spans the musical spectrum. i am politically liberal and my high school classmate's fb postings sometimes make me cringe, but i understand they are good people too. i am a huge fan of rei, but i avoid shopping at wal-mart having seen what it can do to a small town's economy. and while i prefer to take my subaru down dirt roads, i've learned to love the challenge of squeezing it into the only available parallel parking space.  i moved to the bay area nine years ago to start my first real job, if you don't count my high school summer as a grill boy at mcdonald's. when i'm not mentoring graduate students in the lab or teaching them in the classroom, i enjoy the outdoorshiking, biking, fly fishing, skiing, or just hanging out with my dog. i love watching films, going to concerts or plays, keeping fit by running road races (sixteen half-marathons so far), enjoy good food/wine, and cherish good conversation. i try to read as much as i can, though sometimes those best intentions can be limited to a quick excursion through the new yorker and whatever is on display in the grocery store aisle. and now that i've been handed down my sister's roland, i've been brushing up my piano playing. i also like to cook (for others, not especially for myself).",like the rest of my colleagues in academic research i'm trying do some good during my time on this planet. like find a cure for cancer. or at least one kind of cancer. or maybe just one kind of cancer in mice. i also spend my time exploring the arts and outdoors that the bay area has to offer and hanging out with my nephew (the baby in one of my photos).,"rolling stops, and consequently passing online traffic school exams.",people often comment that i have a rather deep voice. unfortunately that hasn't translated into a great singing voice.,"books: game change, true compass, never let me go, the kite runner, devil in the white city, the steve jobs bio. other reads: new york times, the new yorker movies: the wrestler, the social network, the hangover, superbad, the girl with the dragon tattoo (still need to read the books) music: black lab, five for fighting, florence and the machine, linkin park (newer stuff), the script, adele, needtobreathe food: anything that moves and is not a primate, dolphin, or dog. any flora that will not kill me. radio: npr, this american life, radio lab tv: colbert report, flight of the conchords, true blood, boardwalk empire other: sf symphony, performances at the art and orpheum theatre, the de young and legion of honor museums","asics kayano running shoes flyfishing all-wheel drive red wine starry nights (not the painting, the real deal) friends/family with whom to share the above",when can i finally move out of the 'burbs and into either the city or the countryside...,"hanging out with friends or family, conversing over tasty food and good wine, or catching a movie (and not conversing).",you will have to coax that out of me with a corkscrew. or the contents of the bottle.,"you are smart, active, and as comfortable in a tent as you are in a concert hall. you're not afraid to speak your mind but also know the meaning of kindness. passion and curiosity about life are important to me, and i hope to find that in my partner as well. ultimately i'm looking for my best friend, with whom i can grow older and wiser and share life's great and not-so-great moments."
27,single,f,bisexual,fit,anything,socially,never,graduated from college/university,asian,65.0,80000,medicine / health,2012-06-29-12-49,"san pablo, california",,,catholicism,aquarius but it doesn&rsquo;t matter,no,english,"i'm sexy asian tgirl i'm 5""5 124lb i like guys who like tgirls,please read my prof.i'm filipina. i like to travel.",i'm a nurse,in everything,,,,,,,
35,single,m,straight,average,mostly other,rarely,never,graduated from college/university,asian,67.0,30000,entertainment / media,2012-06-28-17-17,"san francisco, california","doesn't have kids, but might want them",likes dogs,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about,no,english,"i like traveling (back and forth from my job), earning money (for my employer) and seeking adventure (stories to read on the interweb). i am tall (compared to my 4' 11"" grandma) and caring (to my house plant). and apparently i like parentheses (who doesn't?).",reducing caffeine. learning to love cotton again. downloading. rocking the shake weight.,saying english words 'n' names in weird ways (comfortable - come for tah blay). being on time.,i tend to smile. and sometimes my pants.,"internet radio - bossa nova stations, movie soundtrack stations, quiet storm (oh yeah, oh know you like it).  have you ever played movie roulette? you go to the movies and watch whatever's playing next - i've seen stinkers this way (lovely bones) and was surprised by others (earth).  prince, quesadilla, hamburgers",1. computer 2. internet 3. mah touch typing skillz 4. family/relatives 5. hope 6. caffeine (now trying to use decaf coffee half the time...),"songs get stuck in my head way longer than i welcome them to. work it harder, make it better do it faster, makes us stronger more than ever, hour after our work is never over ....mwuwhahahahahah",fun fun fun fun looking forward to the we-ah-kand!  ...or unwinding with youtube!,i bought a miley cyrus cd for the 'party in the usa' song.,...you want a chance to feel all warm and fuzzy!
30,single,m,straight,average,mostly anything,socially,never,graduated from two-year college,asian,69.0,60000,medicine / health,2012-06-29-22-49,"san mateo, california","doesn't have kids, but might want them",likes dogs and likes cats,christianity and somewhat serious about it,aries and it matters a lot,no,english,"just living life one day at a time, doing things on my own time, trying not to stress out too much or take life too seriously. i've been single for 2 years and decided to join this site with the hope of finding a good woman to fill that empty void in my life. i decided that it's now time to finally move forward after 2 years of adjusting and mourning. i guess i just realized that it's time for me to be happy and live life to the fullest, looking forward to a bright future and finding someone special to share it with. i have spent so much time trying to make myself better in every possible facet of my life. i've gotten better in some areas and worse in others, but i'm hoping that i'll find a woman who can bring out the very best in me, and hopefully, i'll bring out the best in her as well. i'm an easy-going guy, with a great sense of humor. i can be a little shy and at a loss for words when meeting new people, but i get pretty comfortable quickly and am quick to start joking around. i believe laughter truly is the best medicine, and i take pride in my ability to make people laugh.","i work as a registered nurse at a skilled nursing facility as a nurse assessment coordinator. i have worked as a registered nurse since 2009, and have worked as a nurse executive for the last 2 years. i work the typical 5 day work week, and between my home life and work life, i have a diminished social life. doing things on my own, i don't have the motivation to do anything outside of work other than to go out shopping for myself or staying home and relaxing in preparation for the following workday. i'm hoping to find someone who can understand my way of life, but also spice it up and show me new and exciting things.","whatever i put my mind to. i know that if i can dream it, i can achieve it through hard work and determination. i liken my mentality to that of a soldier... i do as i'm told and follow orders to the letter. it's no wonder i work as a registered nurse, carrying out orders every day, whether it's from a doctor, or the director of nursing. i'm definitely into sports, like football, baseball and basketball, and i enjoy working out at the gym if i can find the time. i guess one of my strengths is my ability of speech. i'm good at talking, especially when talking to patients' families during care conferences or just talking to people i work with.",my fair skin and my sense of fashion. i guess my smile as well. people often notice how well i can carry a suit and just my overall sense of style. i think people notice my high-self esteem and can-do positive attitude towards things.,"favorite tv shows: - the walking dead - house md - 24 - game of thrones - wwe raw - family guy - the simpsons - american dad - the big bang theory - fringe - seinfeld - any old cartoons from my childhood: like transformers, g.i. joe, batman the animated series, tmnt. also, newer cartoons like spongebob, transformers prime, etc.  favorite movies: definitely like action, horror, sci-fi, drama, comedy, foreign... anything with a decent story really.  favorite food: i enjoy american food (hamburgers, steak, fried chicken), italian food (pizza, fettucine, pesto), japanese food (sushi, tempura, beef/chicken teriyaki), chinese food (broccoli beef, fried rice, orange chicken, coconut shrimp), indian food (lamb, chicken maharaja), peruvian food (papa a la huancaina, bistek, etc.)","1. iphone 2. macbook air (june 2012 ivy bridge model) 3. family and friends 4. at least one designer suit... hmm, better make it 2. 5. my car, 2012 mustang boss 302 6. big screen tv, sony xbr-hx929",my future. often thinking about what i can do to better myself and my livelihood.,"either getting retail therapy at the local shopping center or planning on watching a movie in the evening. i could be spending time with my friends or spending time with family, but i mostly choose to venture out to places alone and on my own time.",that i have a profile on okcupid... hahaha...,"if you feel like it, don't be shy! ^_^"
34,single,f,straight,average,mostly anything,socially,never,graduated from college/university,asian,62.0,60000,other,2012-06-29-18-22,"el cerrito, california","doesn't have kids, but wants them",likes dogs and has cats,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about,when drinking,english (fluently),"i was born and raised in the bay area. grew up in pacifica. being an only child has made me independent and self sufficient. i am extremely close to family and friends.  i am honest, loving, loyal, supportive, adventurous, nurturing, fun, social, hungry for culture, travel and more! life is too short so i make the most of every situation, have a good time and always have a positive outlook!","i'm cruisin' for now. i work in the graphic design industry as a production artist who primarily specializes in packaging. i've been doing this for over 10 years now and i still love it!  hula dancing is my main hobby that has occupied more of my free time than usual this year. i also love going to kick boxing classes at the gym.  i'm always thinking of my next possible vacation. i make the most of my free time catching up with friends and family. i am care-free, stress free, drama free, and, i am always up for trying new things, seeing new places, going out to eat, going out to live shows (music, comedy, theater) or cooking at home!","communicating, keeping conversation. trying new things (food, activities, spontaneity). typing fast. cooking. ordering off the menu. being honest. planning ahead. keeping an organized mess...",i'm told my smile...my mixed ethnicity...,"books: catcher in the rye, the bean trees, lord of the flies, the seventh scroll, angels & demons...  some top movies: big business, love actually, the island, resident evil movies, underworld movies, matrix movies, stranger than fiction, under the tuscan sun  some favorite shows: the lion king, billy elliot, wicked, cirque de soleil, aisha tyler, angela johnson, kathy griffin, miami ink, project runway, abdc, sex in the city, that 70's show, himym, weeds, entourage, united states of tara, chopped, iron chef america  music: phoenix, airborne toxic event, foster the people, the black keys, oasis, smiths, the strokes, gorillaz, la roux, santigold, citizen cope, thievery corp, stephane pompougnac, federico aubele, gotan project, tommy guerrero, black eyed peas, beastie boys, gwen stefani, john legend, alicia keys, adele, sade, maroon 5, jason mraz  food: japanese, korean, italian, american, vietnamese, mexican, chinese, southern, french","loved ones, career, passion, music, physical activity, hope.",traveling and how awesome it would be to see the world!,"out with friends having drinks, dinner and a great time!",,you're interested in having a good time out and about and getting to know more about each other.
33,single,f,straight,average,mostly anything,socially,never,graduated from two-year college,black,64.0,40000,education / academia,2011-11-04-16-57,"vallejo, california",has a kid,,christianity and somewhat serious about it,scorpio and it matters a lot,no,"english (fluently), english","hey guys! i really am 1sassyscorp! lolol! im looking some a male! tall and handsome is a must ! someone hard working! and educated! someone family oriented and ready to treat a lady right! ive heard every line in the book, so please come with conversation and nice pix! be real, and be ready! u only have one shot! i work very hard, im fun, outing and serious when i need to be... anyway if you think you can hang get at me!","i work 2 jobs while raising my one son! i like the club, movies, eating out! to sum it up, it doesnt really matter what im doing as long as im around people i enjoy!",im really good at lots of things! hahahhaah,"im pretty! and when i talk, im proper...",,"i cant go without, food, sex, family, money, faith, and not too long without hair weave! ( i know im crazy lol)",music,"a date, or out with the girls!",i dont like short men,your an attractive tall single man ready for a relationship
32,single,m,straight,,,socially,never,graduated from college/university,other,68.0,60000,other,2012-03-30-13-36,"san francisco, california",,,,virgo but it doesn&rsquo;t matter,no,english (fluently),"ok, so here i am wondering on this site because a friend had convinced me to check it out. i honestly have no idea how women on here are, i am still new to this online dating scene. i suppose we can get to know each other if you write me.  i am educated, spontaneous, and outspoken","my ultimate goal in life is to find a wonderful woman that i can call my wife. but who knows what you will run into before you get to that point. i am an educated person and i only ask for the same. i can go on with random stuff to say here, but i'll wait for you to contact me if you really want to know what's going on in my life.","sports, dancing, talking, meeting new people.","my great personality, hehehe.",i love all kinds of food and all types of movies.,"i could do without a lot of things but i ""don't"" think i could do without a woman in my life, hehehe.",outdoor activities and traveling.,either at home or out and about with friends.,"ask me later, hehehehe.","you are educated, financially and emotionally stable, live alone or have time for us to spend together without the kids around, live not too far from the bay area (100 miles max), and among various other things that would make me want to talk to you."
48,single,m,straight,fit,mostly anything,rarely,never,graduated from masters program,asian,69.0,70000,education / academia,2012-06-21-00-45,"san mateo, california","doesn't have kids, but might want them",,,,no,english (fluently),,,,,,"family and friends, music, macbook pro laptop, ipod, library, internet connection, nikon and canon camera","how to be better at my job is something i spend time thinking about. world events, local events would be the other. what dslr to buy.",,i spend too much time watching nba playoff games! pulling for the heat and okc,
