status,sex,orientation,body_type,diet,drinks,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
single,m,straight,average,mostly anything,not at all,graduated from high school,pacific islander,70.0,-1,military,2012-06-29-12-20,"berkeley, california","doesn't have kids, but wants them",likes dogs and likes cats,catholicism and laughing about it,capricorn but it doesn&rsquo;t matter,no,english,"i have a dream to pursue, just like the many others who surround me. i'm a person who is always willing to give a helping hand when the opportunity is there and i when meet new people i tend to be very respectful and kind.",i am joining the u.s. marine corps to become an infantryman.,being a nice guy.,maybe you can tell me?,"movies: act of valor, oceans 11, 12 and 13 music: seether, papa roach, avenged sevenfold and much more from different genres. food: i'll try almost anything that is not spicy, but if you dare me i'll go for it.",- music - the marine corps - p.t. (physical training) - water - food - friends,"the marine corps, going to war, and finding that perfect girl.",doing what ever pops up at the moment.,i'm scared of female drill instructors.,you are interested.
single,m,bisexual,thin,anything,rarely,graduated from high school,hispanic / latin,63.0,1000000,student,2012-06-23-08-02,"hayward, california","doesn't have kids, but might want them",likes dogs,atheism and somewhat serious about it,cancer and it matters a lot,no,"english (fluently), spanish (okay)","hello peoples! well let's see... first thing's first, i'm bisexual and i crossdress. i'm hoping in finding a guy or girl who is open-minded and loving. i know i should probably add more to this but i like to keep oneself in suspense. inbox me to say hi or even ""start something new"". :)",planning on going to community college after high school. then uc berkeley and major in astrophysics as an undergraduate. then to santa cruz for grad school. and finally become a full time astronomer until the day i die.,"sex (bottom), socializing, and listening/giving advise.",my makeup and the way i dress.,too many to put on here just get to know me;) but i lovvveeee punk/hardcore (no 90s posers allowed) and i worship danzig ! and the misfits!,1. friends 2. food 3. makeup 4. dresses 5. music 6. sex,the future and what i could do control/change it.,either crossdressing at home or chilling with my homegirls!,i wear a bra and/or panties about 90% of the time i'm out. even under men's clothing.,you're interested. ;)
single,f,straight,overweight,strictly anything,socially,graduated from high school,hispanic / latin,63.0,-1,student,2012-06-29-13-34,"oakland, california","doesn't have kids, but wants them",likes dogs and likes cats,christianity and very serious about it,aquarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)","i am an 19 year old young single mexican woman and apparently looking for a gentleman that is real and willing to have a relationship and to be romantic. i don't want a guy dats only interested in sex. not alot of girls do this but i like to play video games i play back ops, modern warfare3 cnt wait for black ops 2. i like to party and dance so hopefully u will to and i'm a very unique girl. i might be a lil chuncky but i come with the whole package lol",i recently graduated high school and im in massage therapy school about to graduate,"i'm really good at cooking, playing sports, keeping my word, having a relationship, and dancing. video games",my boobs and my ass which i don't like what about my personality? and my eyes and smile :) and probably my lips lol,"favorite movies is hangover 2, cars 2 in 3d, our family wedding, finding nemo, fav shows is the game, george lopez, everybody hates chris, 12 corazones and favfood is speggetti, mexican tacos and burritos, chiles rellenos, popusas,tamales",family friends party tv phone,who i'm going to end up with in the future and where am i goin to be in ten years and how it's going to be,either at a party or working or at home chillin with freinds or being with family.,turn on: a romantic guy turn off: a huge idiot that's just trying to have sex,"your interested in me, wat to hang out sometime probably party lol, or u just want to talk, or if you think ur the guy i'm looking for"
single,m,bisexual,overweight,mostly other,often,graduated from high school,black,95.0,20000,,2011-07-20-21-53,"san leandro, california",,has dogs,,gemini but it doesn&rsquo;t matter,sometimes,english,,,,,,,,,,
single,f,straight,full figured,mostly anything,very often,graduated from high school,black,66.0,30000,artistic / musical / writer,2012-06-21-12-18,"oakland, california",doesn't want kids,likes dogs and dislikes cats,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about,yes,english,"well ma name is rozai. i'm known as ghetto barbie i make videos for wshh and youtube so check me out. i'm a self promoting artist, young pretty lil thing, freak, crazy, i love being myself and just having fun :)","hmm, id live to do u (;",being me,ma fat ass,"favorite books,living dead girl,the latin kings and moby dick my favorite shows that i like to watch are pawn shop.deadleast warrior,auction hunters and house and my favorite food would half to be hawiian bbq or a good oh super carne asada burrito from 24 and abalama","ma phone, shoes, clothes, make up, computer and music",myselff,club!,i have gotten locked up before for asulting an peace officer,if your trying to have a bomb ass time
single,m,gay,average,mostly vegetarian,socially,graduated from high school,asian,65.0,-1,other,2012-06-29-14-08,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,other and somewhat serious about it,libra,no,"english (fluently), chinese (okay)","i'm not good at these things. i don't know what to say haha. however, if you do want to get to know me, the best way is to talk to me and get to know me. i've been told that i'm easy to get along with.  i am currently working. i am not a school person, but i am trying to suck it up and get through it and not drag this out. i am currently working, but that might change due to my work schedule might interfere with my school schedule. if i'm not working i would usually be at home trying to relax or out with my friends. if i'm home, i am usually playing games or just watching whatever online. i would like to meet new people and go around doing whatever. my friends and i don't have much to do now a days because it feels like there isn't much to do and sometimes they're busy as well.  i also feel that the ""personality"" chart isn't completely true. i know it's based off of the questions i have answered, but yeah idk lol...","at the moment i am not curtain what i want to do career wise, so in the mean time i decided to just try to get my license as a customs broker.  school isn't really my thing, so this will be difficult haha.",what am i good at? haha,i'm not sure...haha,"books: i haven't read many books, but the ones that i do like that i can recall are how to kill a mocking bird, the kite runner, and twilight (only the 1st book. also, i'm not a die-hard twilight fan. the book was quite enjoyable).  movies: there are a lot of movies i like and rather not name them all, but i enjoy all kinds of movies like action, comedy, romantic comedy, and thrillers. there could be more, but i can't really think of any other type of genes. not too big on horror, but watch it occasionally.  shows: i enjoy watching english shows and also korean and chinese shows. some tv shows i enjoyed are kyle xy, the vampire diaries, glee, house hunters, how i met your mother, and gossip girl.  music: i like all kinds of music. if you give me time, i could enjoy a curtain type of music, but i can not promise you that i will like it even if i try it out haha.  food: i love food. i have curtain foods i dislike, but i enjoy eating and trying out new restaurants.",1. family and friends 2. cell phone 3. computer 4. sleep 5. food 6. running water,my future,"either at home relaxing by watching something on my computer (like movies or shows), playing games, or i would be out with friends. just hanging out.","i'm bi-curious. i tell people i'm bi because it seems like it's easier than going through the whole story about how i am not sure if i like girls or not since i have never been with one, but i have had feelings for some here and there.","you're interested in being my friend, a buddy to go hangout with, considering me as someone you would like to date, or just someone to talk to."
single,m,straight,fit,anything,rarely,graduated from high school,hispanic / latin,72.0,-1,artistic / musical / writer,2012-06-05-22-31,"oakland, california",might want kids,has dogs and has cats,atheism and laughing about it,leo and it&rsquo;s fun to think about,no,english,"my names achilles, im a anarchist, and my core beliefs are not chaos and disorder. anarchy is the idea that you are not someone elses property. that you are free to think for yourself, and you are in control of your life, and no one else is in control of it. anarchy is treating everyone like human beings, and not putting a corporation above anyones life.  other than that, i make music and protest, most of the time. i skate (aggressive inline), hardstyle shuffle, parkour, game, computer geek and many others. ive watched so many documentaries, covering a wide variety of topics, its insane. i can literally sit and tell you random facts, all day. for instance: did you know scientists are trying to get dolphins classified as ""non human persons"" because of their unbelievable intelligence? or the fact that the military uses them for their sonar, to detect mines underwater? lol.  im a nice person to everyone until you disrespect me. everyone gets my full respect, until you disrespect me. i trust no one. trust is earned. period.  religion is utterly retarded when determining friendship. it doesnt matter. believe what you want to believe and understand that your religion isnt the only one in the world!  religion is, in fact, a divide of the people and is the cause of most wars.  stereotypes and labels are dumb, and childish. they are just another thing to seperate the people.  racism is also dumb and childish.  most mainstream music sucks.  creativity and being ones true self, are two of the most very important things in the world. if you dont have thoses things, youre just the mirror image of what you see on tv.  http://www.youtube.com/watch?v=w8kqmps-sog",changing the world.,sticking to my beliefs. sewing music production writing communicating on a intellectual and philosophical level. listening being dependent on myself to get shit done. loving.,the spikes coming out of my head.(shaved my head 03/11/2012. time to start over lol) my deep thought into life and the way we do things.,books: anything by emma goldman. movies: various shows: i dont watch tv music: everything besides country. underground music. mainstream sucks. food: everything and anything.,air. water. food. warmth. love. humor.  all other things are materialistic products that you dont need to live.,a free society.  the butterfly effect,bein a boss.,i like lamp.,you arent apathetic.
single,f,straight,fit,strictly vegetarian,socially,graduated from college/university,asian,67.0,20000,education / academia,2012-06-01-21-02,"oakland, california",doesn't want kids,likes dogs and has cats,agnosticism but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), french (fluently), spanish (okay), greek (okay), italian (poorly)","i do things, and i go places - just like everyone else you've met. i went to school, but now i've finished, and am trying with minute success to find out what comes next. and also to convince but absoutely anyone that they ought to hire me. i read incessantly, but haven't a particularly strong affinity with spelling. sometimes, i leave.","right now? floating along living it, etc. and i figure the rest of it will figure itself out","euf, how should i know? narcissistic interior monologue? i'm still trying to figure out what i want to be good at, so i figure we've got to wait it out, obituary style. and even then, if i finally die a pentalingual essayist, you just know that a couple columns over, you're going to find some poet that's a decalingual nobel laureate, so does it really even matter?",caplillus multus plus plurimum,"look, if i answer this, there won't be the slightest thing to talk about later on. besides, i had a small sister who was, for some time, absolutely dictatorial on the subject of favorites, and i've gone off them. and anyways, if you're the sort that makes decisions based on favorites, we're not going to get along anyways, so we may as well call it quits here and now","to be perfectly honest, i'm not a big fan of absolutes and it seems to me, that the human being is capable of rather more than it assumes is theoretically feasible.","may 2005, national geographic  a popcorn cat poisened several new england children in 1955, when levels of orange food coloring reached toxic levels due to poor manufacturing controls. victims recovered and the manufacturer recalled the other cats.",regretting its typicality,"sometimes, i'm an ass.",you want to
single,f,straight,thin,mostly vegetarian,rarely,graduated from two-year college,hispanic / latin,60.0,20000,student,2012-06-30-01-46,"richmond, california","doesn't have kids, but might want them",likes dogs and dislikes cats,agnosticism but not too serious about it,aries and it&rsquo;s fun to think about,sometimes,english,"i eat food.  strictly looking for friends. i get turned off by people who don't know me and jump at me with repetitive compliments. anyone can give a compliment; your ""hey sexy"" will be nothing special. keep them to yourselves and we can be friends.  i'm known to be extremely friendly and easy to get along with, but blunt. expect to possibly get hurt when i say what's on my mind.","have my aa in liberal studies, pursuing a ba in professional, public and organizational communication. i just quit my job and am now looking for another. i be chillin.",i tend to make people love me. it fucks shit up for me a lot of the time.,"my height, my cow (spotty) lips, my dark skin, my weirdness.","i've had it for years and i haven't finished it yet, but markings by dag hammarskjld is, by far, the most intriguing and inspiring book i've ever picked up.  chocolat, big fish, finding neverland, goodfellas, kingdom of heaven, the prince of egypt, hercules (disney), what dreams may come, pan's labyrinth, the illusionist. i guess i like a lot of mysterious/""magical"" movies.  i don't watch tv.  i love all types of music, but not so much pop: no doubt, beyonc, incubus, kings of leon, n*e*r*d are some of my all time favorites.  i eat all food. except i can't eat too much meat.","food, love (from a lover, friends, and not family. i extremely dislike my family), continuously experiencing new things.",where i'll be once i get my bachelor's degree. i want to travel around the world to teach communication skills workshops and simultaneously progress with my photography.,"at home, eating alone or out partying with hot bitches.",i just got out of a damn-near 3 year relationship and i'm pretty damaged.,"you want to be friends. expect no sex from me, bro (unless you're that confident that i'll think you're amazing in all aspects other than sex.)"
single,m,straight,average,anything,socially,graduated from high school,hispanic / latin,66.0,-1,student,2011-10-24-19-25,"oakland, california",doesn't have kids,has dogs,catholicism but not too serious about it,aries but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (fluently)","according to the sim my friend just made resembling me:  ambitious artistic bookworm good sense of humor perfectionist  her lifetime wish: renaissance sim  she just started painting, making silly faces at people, and enjoying waffles. hauntingly accurate.  ...and i am listening to tenacious d's new album a lot right now. it's a-growin' on me.","just graduated from mills college (art history/film studies) and trying to find time to stay creative. i actually have a lot of cool projects going right now!  i'm helping start a female-focused oingo boingo cover band. we are accepting males, but they have to be willing to dress in drag. it's going to be influenced by the mystic knights days with cabaret, burlesque, a rock feel, and lasers! if you contact me about this through okc (or any other medium) you can be sure our relationship will stay professional.  i'm working at a non-profit theater trying to get my foot in the open-mic-emceeing door while doing improv on the side. i just started singing with an all-women's vocal improv troupe. it's amazing! i'm also doing sketch improv with magic jester theater.  lastly, i'm working on sharpening my music skills. i'll be recording stuff with a friend soon, and i'm working my way up to recording a concept album. i am also a videographer, so naturally there will be music videos. excite.  an ultimate goal of sorts would be to experience lots of different kinds of creative synergy with cool, talented people. if you have a neat project that you want to share with others, i'm interested.","singing is fun!  writing is good, too.  performing is great.  drawing can also be quite lucrative.  and don't forget tetris!","i'm most likely wearing a brightly colored vintage style dress.  i'm slightly above average in height.  i'm also rather silly. (for example, the aliens from galaxy quest=funniest thing ever.)","books: the illustrated man by bradbury the hitchhiker's guide series by adams carousel of progress by tanney animal farm by orwell princess diaries by cabot all kinds of textbooks...  movies: just saw: avengers. that is all. want to see: captain america 2. i will wait. all-time favorite: pee-wee's big adventure runner up: full metal jacket i like german expressionism, french realism, 1970's american film, and big boys like scorsese. i could watch clue all the time.  music: best band: oingo boingo current obsession: northern soul---it's a way of life! fav genres: new wave, jazz, punk, and parody. i grew up a ""rude girl,"" and will always have a soft spot for ska. xtc, tmbg, the jam, and janelle monae!  tv: current marathon(s): batman: the animated series/justice league whose line is it anyway? (us and uk) community strangers with candy mystery science theater 3000! any detective show with an emphasis on criminal profiling.  food: sushi (duh-doy!) ...just about everything, actually. meat is a nice treat!",pepper jack cheese sharp cheddar cheese smoked gouda cheese cranberry-covered goat cheese my ipod,how grateful i am that i am not a toddler in a tiara.  when would i go if i could time travel???  wwcad? (what would cap'n america do?),"oh, yes it's movie night, and the feelin's right.  looking for places that play old soul/r&b records to which i would dance!  killing beasts, wooing useful people, and reanimating the disembodied hands of necromancers to do my bidding as a chaotic evil bard.",kiss from a rose by seal is a great song.,"if you are looking for new friends, want to have fun, or just want to hang out or talk..."
